ID TIME ETH
11 18665.97 30.793034697430876037
11 18671.041 30.793034697430876037
11 18676.205 30.793034697430876037
11 18681.318 30.793034697430876037
11 18686.413 30.793034697430876037
11 18691.53 30.793034697430876037
11 18696.723 30.793034697430876037
11 18701.772 30.793034697430876037
11 18706.875 30.793034697430876037
11 18712.122 30.793034697430876037
11 18717.246 30.793034697430876037
11 18722.273 30.793034697430876037
11 18727.297 30.793034697430876037
11 18732.405 30.793034697430876037
11 18737.446 30.793034697430876037
11 18742.511 30.793034697430876037
11 18747.544 30.793034697430876037
11 18752.778 30.793034697430876037
11 18757.852 30.793034697430876037
11 18762.92 30.793034697430876037
11 18768.037 30.793034697430876037
11 18773.242 30.793034697430876037
11 18778.342 30.793034697430876037
11 18783.464 30.793034697430876037
11 18788.571 30.793034697430876037
11 18793.595 30.793034697430876037
11 18798.66 30.793034697430876037
11 18803.762 30.793034697430876037
11 18808.973 30.793034697430876037
11 18814.411 30.793034697430876037
11 18819.603 30.793034697430876037
11 18824.757 30.793034697430876037
11 18829.913 30.793034697430876037
11 18834.958 30.793034697430876037
11 18839.984 30.793034697430876037
11 18845.016 30.793034697430876037
11 18850.114 30.793034697430876037
11 18855.393 30.793034697430876037
11 18860.468 30.793034697430876037
11 18865.64 30.793034697430876037
11 18870.829 30.793034697430876037
11 18875.885 30.793034697430876037
11 18880.971 30.793034697430876037
11 18886.045 20.862023131620584025
11 18891.127 20.862023131620584025
11 18896.222 20.862023131620584025
11 18901.286 20.862023131620584025
11 18906.373 20.862023131620584025
11 18911.453 20.862023131620584025
11 18916.528 20.862023131620584025
11 18921.54 20.862023131620584025
11 18926.554 20.862023131620584025
11 18931.646 20.862023131620584025
11 18936.66 20.862023131620584025
11 18941.75 20.862023131620584025
11 18947.045 20.862023131620584025
11 18952.057 20.862023131620584025
11 18957.099 20.862023131620584025
11 18962.194 20.862023131620584025
11 18967.214 20.862023131620584025
11 18972.409 20.862023131620584025
11 18977.538 20.862023131620584025
11 18982.682 20.862023131620584025
11 18987.831 20.862023131620584025
11 18992.845 20.862023131620584025
11 18997.945 20.862023131620584025
11 19002.961 30.793034697430876037
11 19008.146 30.793034697430876037
11 19013.407 30.793034697430876037
11 19018.613 30.793034697430876037
11 19023.66 30.793034697430876037
11 19028.68 30.793034697430876037
11 19033.768 30.793034697430876037
11 19039.043 30.793034697430876037
11 19044.403 30.793034697430876037
11 19049.62 30.793034697430876037
11 19054.807 30.793034697430876037
11 19059.859 30.793034697430876037
11 19064.882 30.793034697430876037
11 19069.897 30.793034697430876037
11 19074.99 30.793034697430876037
11 19080.22 30.793034697430876037
11 19085.238 30.793034697430876037
11 19090.371 30.793034697430876037
11 19095.457 30.793034697430876037
11 19100.47 30.793034697430876037
11 19105.615 30.793034697430876037
11 19110.636 30.793034697430876037
11 19115.674 30.793034697430876037
11 19120.769 30.793034697430876037
11 19125.911 30.793034697430876037
11 19131.011 30.793034697430876037
11 19136.028 30.793034697430876037
11 19141.045 30.793034697430876037
11 19146.156 30.793034697430876037
11 19151.386 30.793034697430876037
11 19156.614 30.793034697430876037
11 19161.631 30.793034697430876037
11 19166.665 30.793034697430876037
11 19171.815 30.793034697430876037
11 19176.944 30.793034697430876037
11 19182.071 30.793034697430876037
11 19187.167 30.793034697430876037
11 19192.18 30.793034697430876037
11 19197.255 30.793034697430876037
11 19202.281 30.793034697430876037
11 19207.365 30.793034697430876037
11 19212.463 30.793034697430876037
11 19217.555 30.793034697430876037
11 19222.661 30.793034697430876037
11 19227.74 30.793034697430876037
11 19232.763 30.793034697430876037
11 19237.857 30.793034697430876037
11 19242.932 30.793034697430876037
11 19248.031 30.793034697430876037
11 19253.102 30.793034697430876037
11 19258.149 30.793034697430876037
11 19263.172 30.793034697430876037
11 19268.287 30.793034697430876037
11 19273.358 30.793034697430876037
11 19278.469 30.793034697430876037
11 19283.537 30.793034697430876037
11 19288.562 30.793034697430876037
11 19293.582 30.793034697430876037
11 19298.673 30.793034697430876037
11 19303.752 30.793034697430876037
11 19308.762 30.793034697430876037
11 19313.995 30.793034697430876037
11 19319.042 30.793034697430876037
11 19324.159 30.793034697430876037
11 19329.191 30.793034697430876037
